id;active;name;categories;price;tax_rules_ID;wholesale_price;on_sale;discount_amount;discount_percent;discount_from;discount_to;reference;supplier_reference;supplier;manufacturer;EAN13;UPC;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;short_description;description;tags;meta_title;meta_keywords;meta_description;url_rewrite;text_when_in_stock;text_when_backorder_allowed;available_for_order;product_available_date;product_creation_date;show_price;image_urls;delete_existing_images;feature;available_online_only;condition_;customizable;uploadable;text_fields;out_of_stock;shop_id;advanced_stock_management;depends_on_stock;warehouse
2415;1;"FG ST BL PERLA";7,40;206.528926;1;;1;25.90;10.364146;;;;;;45;;;;;;;;5;1;;;;;;"<p><strong> CASCO HJC INTEGRAL FG-ST BLANCO PERLA </strong></p>
<p><strong>Casco integral probado en el banco de pruebas del t&uacute;nel de viento. &nbsp;</strong></p>
<p><span style=""text-decoration: underline;""><strong>CARACTER&Iacute;STICAS:</strong></span> &nbsp;</p>
<p><em><strong>Calota Externa</strong></em></p>
<ul>
<li>Calota de composite avanzado de fibra de vidrio que hace que el casco destaque por su ligereza, gran ajuste y confortabilidad gracias al uso de la tecnolog&iacute;a avanzada CAD. &nbsp;</li>
</ul>
<p><em><strong>Interior</strong></em></p>
<ul>
<li>Interiores fabricados en Silvercool&trade;, un material transpirable, antibacteriano&nbsp; y que evita los olores.</li>
<li>Las carrilleras, as&iacute; como la coronilla, se pueden desmontar y lavar.</li>
<li>Todas las tallas de carrilleras son intercambiables en todas las tallas del casco. &nbsp;</li>
</ul>
<p><em><strong>Pantalla</strong></em></p>
<ul>
<li>Pantalla solar ahumada integrada de f&aacute;cil y r&aacute;pido desmontaje.</li>
<li>Pantalla &oacute;pticamente superior preparada para la instalaci&oacute;n del &uacute;ltimo Pinlock&reg; anti-vaho con nuevo dise&ntilde;o 3D y protecci&oacute;n anti-ara&ntilde;azos.</li>
<li>Incluye lente anti-vaho Pinlock 100% Max Vision.&nbsp; &nbsp;</li>
</ul>
<p><em><strong>Ventilaci&oacute;n</strong></em></p>
<ul>
<li>Sistema avanzado ACS de canalizaci&oacute;n de la ventilaci&oacute;n que conduce todo el flujo de aire de la parte frontal a la trasera, expulsando hacia fuera el calor y la humedad.</li>
</ul>";ciudad,carretera,;"FG ST BL PERLA";;;casco-integral-hjc-fg-st-bl-perla;"En stock";"Bajo pedido";1;2015-04-11;2015-04-11;1;http://bubumotos.com/data/producto/grande/1432025029_2415_casco_fg_st_bl_perla1_bubumotos.jpg,http://bubumotos.com/data/producto/grande/1432025038_2415_casco_fg_st_bl_perla_bubumotos_3.jpg,http://bubumotos.com/data/producto/grande/1432025034_2415_casco_fg_st_bl_perla_bubumotos_2.jpg;1;;0;;0;0;0;0;1;0;0;0
2416;1;"FG ST NE BR";7,40;206.528926;1;;1;25.90;10.364146;;;;;;45;;;;;;;;3;1;;;;;;"<p><strong> CASCO HJC INTEGRAL FG-ST&nbsp; NEGRO BRILANTE. </strong></p>
<p><strong>Casco integral probado en el banco de pruebas del t&uacute;nel de viento. &nbsp;</strong></p>
<p><span style=""text-decoration: underline;""><strong>CARACTER&Iacute;STICAS:</strong></span> &nbsp;</p>
<p><em><strong>Calota Externa</strong></em></p>
<ul>
<li>Calota de composite avanzado de fibra de vidrio que hace que el casco destaque por su ligereza, gran ajuste y confortabilidad gracias al uso de la tecnolog&iacute;a avanzada CAD. &nbsp;</li>
</ul>
<p><em><strong>Interior</strong></em></p>
<ul>
<li>Interiores fabricados en Silvercool&trade;, un material transpirable, antibacteriano&nbsp; y que evita los olores.</li>
<li>Las carrilleras, as&iacute; como la coronilla, se pueden desmontar y lavar.</li>
<li>Todas las tallas de carrilleras son intercambiables en todas las tallas del casco. &nbsp;</li>
</ul>
<p><em><strong>Pantalla</strong></em></p>
<ul>
<li>Pantalla solar ahumada integrada de f&aacute;cil y r&aacute;pido desmontaje.</li>
<li>Pantalla &oacute;pticamente superior preparada para la instalaci&oacute;n del &uacute;ltimo Pinlock&reg; anti-vaho con nuevo dise&ntilde;o 3D y protecci&oacute;n anti-ara&ntilde;azos.</li>
<li>Incluye lente anti-vaho Pinlock 100% Max Vision.&nbsp; &nbsp;</li>
</ul>
<p><em><strong>Ventilaci&oacute;n</strong></em></p>
<ul>
<li>Sistema avanzado ACS de canalizaci&oacute;n de la ventilaci&oacute;n que conduce todo el flujo de aire de la parte frontal a la trasera, expulsando hacia fuera el calor y la humedad.</li>
</ul>";ciudad,carretera,;"FG ST NE BR";;;casco-integral-hjc-fg-st-ne-br;"En stock";"Bajo pedido";1;2015-04-11;2015-04-11;1;http://bubumotos.com/data/producto/grande/1432027461_2416_casco_fg_st_bl_negro_brillante_bubumotos.jpg,http://bubumotos.com/data/producto/grande/1432027702_2416_casco_fg_st_bl_negro_brillante_bubumotos_2.jpg;1;;0;;0;0;0;0;1;0;0;0
2417;1;"FG ST NE MAT";7,40;206.528926;1;;1;25.90;10.364146;;;;;;45;;;;;;;;4;1;;;;;;"<p><strong> CASCO HJC INTEGRAL FG-ST&nbsp; NEGRO BRILL </strong></p>
<p><strong>Casco integral probado en el banco de pruebas del t&uacute;nel de viento. &nbsp;</strong></p>
<p><span style=""text-decoration: underline;""><strong>CARACTER&Iacute;STICAS:</strong></span> &nbsp;</p>
<p><em><strong>Calota Externa</strong></em></p>
<ul>
<li>Calota de composite avanzado de fibra de vidrio que hace que el casco destaque por su ligereza, gran ajuste y confortabilidad gracias al uso de la tecnolog&iacute;a avanzada CAD. &nbsp;</li>
</ul>
<p><em><strong>Interior</strong></em></p>
<ul>
<li>Interiores fabricados en Silvercool&trade;, un material transpirable, antibacteriano&nbsp; y que evita los olores.</li>
<li>Las carrilleras, as&iacute; como la coronilla, se pueden desmontar y lavar.</li>
<li>Todas las tallas de carrilleras son intercambiables en todas las tallas del casco. &nbsp;</li>
</ul>
<p><em><strong>Pantalla</strong></em></p>
<ul>
<li>Pantalla solar ahumada integrada de f&aacute;cil y r&aacute;pido desmontaje.</li>
<li>Pantalla &oacute;pticamente superior preparada para la instalaci&oacute;n del &uacute;ltimo Pinlock&reg; anti-vaho con nuevo dise&ntilde;o 3D y protecci&oacute;n anti-ara&ntilde;azos.</li>
<li>Incluye lente anti-vaho Pinlock 100% Max Vision.&nbsp; &nbsp;</li>
</ul>
<p><em><strong>Ventilaci&oacute;n</strong></em></p>
<ul>
<li>Sistema avanzado ACS de canalizaci&oacute;n de la ventilaci&oacute;n que conduce todo el flujo de aire de la parte frontal a la trasera, expulsando hacia fuera el calor y la humedad.</li>
</ul>";ciudad,carretera,;"FG ST NE MAT";;;casco-integral-hjc-fg-st-ne-mat;"En stock";"Bajo pedido";1;2015-04-11;2015-04-11;1;http://bubumotos.com/data/producto/grande/1432027546_2417_casco_fg_st_bl_negro_mate_bubumotos.jpg,http://bubumotos.com/data/producto/grande/1432027686_2417_casco_fg_st_bl_negro_mate_bubumotos_2.jpg;1;;0;;0;0;0;0;1;0;0;0
2418;1;"PANTALON DRYSTAR GR NE";24;116.074380;1;;0;NULL;NULL;;;;;;11;;;;;;;;0;1;;;;;;"<p><strong>PANTAL&Oacute;N ANDES DRYSTAR GR NE</strong></p>
<p>Pantal&oacute;n muy vers&aacute;til, que se adapta a la perfecci&oacute;n ante cualquier situaci&oacute;n clim&aacute;tica, gracias al exclusivo tejido Drystar&reg; de Alpinestars (100% impermeable y transpirable), al forro t&eacute;rmico desmontable y a las entradas de aire.</p>
<p>Completan este pantal&oacute;n las protecciones desmontables en las rodillas, los paneles el&aacute;sticos en zonas estrat&eacute;gicas y varios bolsillos.</p>
<p>Confeccionado en poli&eacute;ster 600D con revestimiento PU para una durabilidad y resistencia adicionales.</p>
<p>Incorpora el exclusivo tejido Drystar&reg; de Alpinestars (100% impermeable y transpirable), ofreciendo un excelente rendimiento en cualquier condici&oacute;n clim&aacute;tica.</p>
<p>Forro t&eacute;rmico desmontable.Paneles el&aacute;sticos en la zona de la entrepierna y detr&aacute;s de las rodillas.Inserciones el&aacute;sticas en acorde&oacute;n en las rodillas.</p>
<p>Grandes entradas de aire con cremallera.Protecciones Bio Armor desmontables en las rodillas (con certificaci&oacute;n CE).</p>
<p>Compartimentos en las caderas con protecciones de espuma.Se pueden montar las protecciones Alpinestars Hip (no incluidas).</p>
<p>Elementos reflectantes para una mejor visibilidad en conducci&oacute;n nocturna o con poca luz.Rodillas 3D pre-curvadas para una mayor comodidad en la posici&oacute;n de conducci&oacute;n.</p>
<p>Tirantes desmontables.</p>
<p>Cintura regulable.</p>
<p>4 bolsillos exteriores (2 de ellos impermeables).</p>
<p>Cremallera de conexi&oacute;n chaqueta-pantal&oacute;n Alpinestars.</p>";carretera,;"PANTALON DRYSTAR GR NE";;;pantalon-alpinestars-pantalon-drystar-gr-ne;"En stock";"Bajo pedido";1;2015-04-11;2015-04-11;1;http://bubumotos.com/data/producto/grande/1428749833_andes_drystar_gris_negro.jpg;1;;0;;0;0;0;0;1;0;0;0
2419;1;"CONNOR LADY";14,41;29.752066;1;;0;NULL;NULL;;;;;;82;;;;;;;;7;1;;;;;;NULL;ciudad,carretera,;"CONNOR LADY";;;guantes-invierno-quartermile-connor-lady;"En stock";"Bajo pedido";1;2015-04-14;2015-04-14;1;NULL;1;;0;;0;0;0;0;1;0;0;0
2420;1;"CANDADO GRANIT VICTORY X PLUS 68";62;94.173554;1;;0;NULL;NULL;;;;;;107;;;;;;;;2;1;;;;;;"<p><strong>CANDADO GRANIT VICTORY X PLUS 68</strong></p>
<p>Candado fabricado por Abus muy pr&aacute;ctico con anillo de goma y perno&nbsp;de acero de 14 mm.</p>
<p>La forma redonda y las tres piezas de giro independiente obstaculizan el uso de herramientas de apertura Cilindro ABUS X Plus para mayor protecci&oacute;n contra manipulaciones.</p>
<p>Se entregan dos llaves con la cerradura, una de las claves de la antorcha LED Tarjeta C&oacute;digo ABUS para claves adicionales o de reemplazo.</p>";ciudad,;"CANDADO GRANIT VICTORY X PLUS 68";;;antirrobo-abus-candado-granit-victory-x-plus-68;"En stock";"Bajo pedido";1;2015-04-14;2015-04-14;1;http://bubumotos.com/data/producto/grande/1429004841_candado_68.jpg;1;;0;;0;0;0;0;1;0;0;0
2421;1;"HX-207 BL";7,40;98.347107;1;;0;NULL;NULL;;;;;;99;;;;;;;;5;1;;;;;;"<p><strong>HX-207 BL</strong></p>
<p>Casco de enduro fabricado por IXS en policarbonato.</p>
<p>Sistema de ventilaci&oacute;n en la frente y en el ment&oacute;n.</p>
<p>Revestimiento de alta calidad desmontable.</p>";cross,trial,casual,;"HX-207 BL";;;casco-integral-ixs-hx-207-bl;"En stock";"Bajo pedido";1;2015-04-14;2015-04-14;1;http://bubumotos.com/data/producto/grande/1429007996_hx-207_bl.jpg,http://bubumotos.com/data/producto/grande/1429008009_hx-207_bl_a.jpg,http://bubumotos.com/data/producto/grande/1429008005_hx-207_bl_d.jpg,http://bubumotos.com/data/producto/grande/1429008001_hx-207_bl_l.jpg;1;;0;;0;0;0;0;1;0;0;0
2422;1;"HX-207 NE MAT";7,40;98.347107;1;;0;NULL;NULL;;;;;;99;;;;;;;;5;1;;;;;;"<p><strong>HX-207 NE MAT</strong></p>
<p>Casco de enduro fabricado por IXS en policarbonato.</p>
<p>Sistema de ventilaci&oacute;n en la frente y en el ment&oacute;n.</p>
<p>Revestimiento de alta calidad desmontable.</p>";cross,trial,casual,;"HX-207 NE MAT";;;casco-integral-ixs-hx-207-ne-mat;"En stock";"Bajo pedido";1;2015-04-14;2015-04-14;1;http://bubumotos.com/data/producto/grande/1429008647_hx-207_ne.jpg,http://bubumotos.com/data/producto/grande/1429008655_hx-207_ne_a.jpg,http://bubumotos.com/data/producto/grande/1429008651_hx-207_ne_l.jpg;1;;0;;0;0;0;0;1;0;0;0
2423;1;"HX-207 ATLAS";7,40;106.611570;1;;0;NULL;NULL;;;;;;99;;;;;;;;2;1;;;;;;"<p><strong>HX-207 ATLAS</strong></p>
<p>Casco de enduro fabricado por IXS en policarbonato.</p>
<p>Sistema de ventilaci&oacute;n en la frente y en el ment&oacute;n.</p>
<p>Revestimiento de alta calidad desmontable.</p>";cross,trial,casual,;"HX-207 ATLAS";;;casco-integral-ixs-hx-207-atlas;"En stock";"Bajo pedido";1;2015-04-14;2015-04-14;1;http://bubumotos.com/data/producto/grande/1429009894_atlas.jpg,http://bubumotos.com/data/producto/grande/1429009926_atlas_a.jpg,http://bubumotos.com/data/producto/grande/1429009921_atlas_d.jpg,http://bubumotos.com/data/producto/grande/1429009908_atlas_l.jpg,http://bubumotos.com/data/producto/grande/1429009898_atlas_2.jpg;1;;0;;0;0;0;0;1;0;0;0
2424;1;"RS COMBAT  HP N/BL";14,37;36.363636;1;;0;NULL;NULL;;;;;;114;;;;;;;;6;1;;;;;;"<p><strong>RS COMBAT &nbsp;HP N/BL</strong></p>
<p>Guantes de verano de piel girada.</p>";ciudad,carretera,;"RS COMBAT  HP N/BL";;;guantes-verano-ixon-rs-combat-hp-n-bl;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429087993_rs_combat_hp_ne_bl.jpg,http://bubumotos.com/data/producto/grande/1429087996_rs_combat_hp_ne_bl_d.jpg;1;;0;;0;0;0;0;1;0;0;0
2425;1;"RS GRIP HP";14,37;44.628099;1;;0;NULL;NULL;;;;;;114;;;;;;;;6;1;;;;;;"<p><strong>RS GRIP HP</strong></p>
<p>Guantes de verano fabricados en piel y textil.</p>";ciudad,carretera,;"RS GRIP HP";;;guantes-verano-ixon-rs-grip-hp;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429088917_rs_grip_hp.jpg,http://bubumotos.com/data/producto/grande/1429088921_rs_grip_hp_d.jpg;1;;0;;0;0;0;0;1;0;0;0
2426;1;"SAMUR LADY";14,37;18.181818;1;;0;NULL;NULL;;;;;;99;;;;;;;;5;1;;;;;;"<p><strong>SAMUR LADY</strong></p>
<p>Guante de verano hecho de malla y sarga de Lycra, en la zona de la palma y pulgar reforzado con Clarino.</p>
<p>Pu&ntilde;o ajustable en ancho con cierre de velcro.</p>";ciudad,carretera,;"SAMUR LADY";;;guantes-verano-ixs-samur-lady;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429090021_samur_lady.jpg;1;;0;;0;0;0;0;1;0;0;0
2427;1;"IXS SAMUR";14,37;18.181818;1;;0;NULL;NULL;;;;;;99;;;;;;;;9;1;;;;;;"<p><strong>SAMUR</strong></p>
<p>Guante de verano hecho de malla y sarga de Lycra, en la zona de la palma y pulgar reforzado con Clarino.</p>
<p>Pu&ntilde;o ajustable en ancho con cierre de velcro.</p>";ciudad,carretera,;"IXS SAMUR";;;guantes-verano-ixs-ixs-samur;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429090419_samur.jpg;1;;0;;0;0;0;0;1;0;0;0
2428;1;"RS LIFT HP AM";14,37;32.231405;1;;0;NULL;NULL;;;;;;114;;;;;;;;5;1;;;;;;"<p><strong>RS LIFT HP AM</strong></p>
<p>Guantes de verano muy ligeros.</p>
<p>Protecciones incorporadas.</p>
<p>Pu&ntilde;o ajustable con velcro.</p>";ciudad,carretera,;"RS LIFT HP AM";;;guantes-verano-ixon-rs-lift-hp-am;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429091162_lift_ama.jpg,http://bubumotos.com/data/producto/grande/1429091165_lift_ama_d.jpg;1;;0;;0;0;0;0;1;0;0;0
2429;1;"RS LIFT HP NE/RO";14,37;32.231405;1;;0;NULL;NULL;;;;;;114;;;;;;;;10;1;;;;;;"<p><strong>RS LIFT HP NE/RO</strong></p>
<p>Guantes de verano muy ligeros.</p>
<p>Protecciones incorporadas.</p>
<p>Pu&ntilde;o ajustable con velcro.</p>";ciudad,carretera,;"RS LIFT HP NE/RO";;;guantes-verano-ixon-rs-lift-hp-ne-ro;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429091429_lift_ne_ro.jpg,http://bubumotos.com/data/producto/grande/1429091432_lift_ne_ro_d.jpg;1;;0;;0;0;0;0;1;0;0;0
2430;1;"RS LIFT HP NE/BL";14,37;32.231405;1;;0;NULL;NULL;;;;;;114;;;;;;;;8;1;;;;;;"<p><strong>RS LIFT HP NE</strong></p>
<p>Guantes de verano muy ligeros.</p>
<p>Protecciones incorporadas.</p>
<p>Pu&ntilde;o ajustable con velcro.</p>";ciudad,carretera,;"RS LIFT HP NE/BL";;;guantes-verano-ixon-rs-lift-hp-ne-bl;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429091610_lift_ne_bl.jpg;1;;0;;0;0;0;0;1;0;0;0
2431;1;"RS RALLYE HP BL/NE/RO";14,37;57.024793;1;;0;NULL;NULL;;;;;;114;;;;;;;;7;1;;;;;;"<p><strong>RS RALLYE HP BL/NE/RO</strong></p>
<p>Guantes largos de verano.</p>
<p>Protecciones incorporadas y muy flexible en los dedos.&nbsp;</p>";ciudad,carretera,;"RS RALLYE HP BL/NE/RO";;;guantes-verano-ixon-rs-rallye-hp-bl-ne-ro;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429092891_rs_rallye_hp_bl_ne_ro.jpg;1;;0;;0;0;0;0;1;0;0;0
2432;1;"RS RALLYE HP NE/BL/FL";14,37;57.024793;1;;0;NULL;NULL;;;;;;114;;;;;;;;4;1;;;;;;"<p><strong>RS RALLYE HP NE/BL/FL</strong></p>
<p>Guantes largos de verano.</p>
<p>Protecciones incorporadas y muy flexible en los dedos.&nbsp;</p>";ciudad,carretera,;"RS RALLYE HP NE/BL/FL";;;guantes-verano-ixon-rs-rallye-hp-ne-bl-fl;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429093199_rs_rallye_hp_bl_ne_am.jpg;1;;0;;0;0;0;0;1;0;0;0
2433;1;"TOURMAX SONIC BL";38;176.033058;1;;0;NULL;NULL;;;;;;70;;;;;;;;1;1;;;;;;"<p><strong>CASCO CABERG TOURMAX SONIC BLANCO</strong></p>
<p>caberg Tourmax&nbsp;es el primer casco modular Adventure pensado para los amantes del mundo del Enduro. Este nuevo casco de la firma italiana Caberg, est&aacute; fabricado 100% en Italia. El modelo Tourmax destaca por su versatilidad y su comodidad.</p>
<p>La calota exterior est&aacute; hecha en Thermopl&aacute;stica de primera calidad, ha sido testada contra los impactos.</p>
<p>El cierre microm&eacute;trico es muy sencillo de utilizar incluso para los motoristas con menos experiencia.</p>
<p>Gracias a que dispone de la doble homologaci&oacute;n P / J dual ( integral-jet ), te permite conducir con la mentonera abierta con total seguridad gracias a la palanca situada en el lado izquierdo del casco, que bloquea cualquier cierre accidental de la misma.</p>
<p>Est&aacute; dotado de&nbsp;un mecanismo que mueve autom&aacute;ticamente la pantalla cuando se abre el protector de la barbilla para reducir al m&aacute;ximo&nbsp;los ruidos de la resitencia del aire.&nbsp;La pantalla cuenta con el exclusivo sistema Doble Visor Tech: visor solar interno, de muy f&aacute;cil utilizaci&oacute;n y con acceso en la zona superior central del casco y pantalla exterior con tratamiento anti rayas muy duradera al paso del tiempo, preparada para Pinlock (Pinlock incluido).&nbsp;La pantalla se desmonta f&aacute;cil y r&aacute;pidamente sin necesidad de herramientas.</p>
<p>El sistema de ventilaci&oacute;n cuenta con entradas de aire que mantiene la cabeza fresca y extractores de aire, que evac&uacute;an el aire caliente del interior del casco, f&aacute;ciles de utilitar incluso con guantes.</p>
<p>Interior totalmente desmontable y lavable realizado con tejido&nbsp; altamente transpirable y con tratamiento antial&eacute;rgico, con insercciones reflectantes en la parte posterior del cuello.&nbsp;Barbillera desmontable.</p>
<p>Sistema antiturbulencia en la nuca. Aerodin&aacute;mica testada en t&uacute;nel de viento.Pre-instalaci&oacute;n de Bluetooth para conectar el sistema de comunicaci&oacute;n Caberg ""JUST Speak Easy"" (no incluido) , que te permite comunicarte no s&oacute;lo con tu propio tel&eacute;fono m&oacute;vil y tu pasajero, sino tambi&eacute;n para conectarte a un sistema de GPS, escuchar m&uacute;sica a trav&eacute;s de tu tel&eacute;fono m&oacute;vil o un reproductor de MP3.&nbsp;</p>
<p>Peso: 1.600 gr. + / - 50 gr.</p>";cross,trial,casual,;"TOURMAX SONIC BL";;;casco-modular-caberg-tourmax-sonic-bl;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429096996_sonic_bl.jpg,http://bubumotos.com/data/producto/grande/1429097008_sonic_bl_m.jpg,http://bubumotos.com/data/producto/grande/1429097002_sonic_bl_l.jpg;1;;0;;0;0;0;0;1;0;0;0
2434;1;"TOURMAX SONIC RO";7,38;176.033058;1;;0;NULL;NULL;;;;;;70;;;;;;;;1;1;;;;;;"<p><strong>CASCO CABERG TOURMAX SONIC ROJO</strong></p>
<p>caberg Tourmax&nbsp;es el primer casco modular Adventure pensado para los amantes del mundo del Enduro. Este nuevo casco de la firma italiana Caberg, est&aacute; fabricado 100% en Italia. El modelo Tourmax destaca por su versatilidad y su comodidad.</p>
<p>La calota exterior est&aacute; hecha en Thermopl&aacute;stica de primera calidad, ha sido testada contra los impactos.</p>
<p>El cierre microm&eacute;trico es muy sencillo de utilizar incluso para los motoristas con menos experiencia.</p>
<p>Gracias a que dispone de la doble homologaci&oacute;n P / J dual ( integral-jet ), te permite conducir con la mentonera abierta con total seguridad gracias a la palanca situada en el lado izquierdo del casco, que bloquea cualquier cierre accidental de la misma.</p>
<p>Est&aacute; dotado de&nbsp;un mecanismo que mueve autom&aacute;ticamente la pantalla cuando se abre el protector de la barbilla para reducir al m&aacute;ximo&nbsp;los ruidos de la resitencia del aire.&nbsp;La pantalla cuenta con el exclusivo sistema Doble Visor Tech: visor solar interno, de muy f&aacute;cil utilizaci&oacute;n y con acceso en la zona superior central del casco y pantalla exterior con tratamiento anti rayas muy duradera al paso del tiempo, preparada para Pinlock (Pinlock incluido).&nbsp;La pantalla se desmonta f&aacute;cil y r&aacute;pidamente sin necesidad de herramientas.</p>
<p>El sistema de ventilaci&oacute;n cuenta con entradas de aire que mantiene la cabeza fresca y extractores de aire, que evac&uacute;an el aire caliente del interior del casco, f&aacute;ciles de utilitar incluso con guantes.</p>
<p>Interior totalmente desmontable y lavable realizado con tejido&nbsp; altamente transpirable y con tratamiento antial&eacute;rgico, con insercciones reflectantes en la parte posterior del cuello.&nbsp;Barbillera desmontable.</p>
<p>Sistema antiturbulencia en la nuca. Aerodin&aacute;mica testada en t&uacute;nel de viento.Pre-instalaci&oacute;n de Bluetooth para conectar el sistema de comunicaci&oacute;n Caberg ""JUST Speak Easy"" (no incluido) , que te permite comunicarte no s&oacute;lo con tu propio tel&eacute;fono m&oacute;vil y tu pasajero, sino tambi&eacute;n para conectarte a un sistema de GPS, escuchar m&uacute;sica a trav&eacute;s de tu tel&eacute;fono m&oacute;vil o un reproductor de MP3.</p>
<p>Peso: 1.600 gr. + / - 50 gr.</p>";cross,trial,casual,;"TOURMAX SONIC RO";;;casco-modular-caberg-tourmax-sonic-ro;"En stock";"Bajo pedido";1;2015-04-15;2015-04-15;1;http://bubumotos.com/data/producto/grande/1429094704_sonic_ro.jpg,http://bubumotos.com/data/producto/grande/1429094718_sonic_ro_m.jpg,http://bubumotos.com/data/producto/grande/1429094713_sonic_ro_d.jpg,http://bubumotos.com/data/producto/grande/1429094709_sonic_ro_l.jpg;1;;0;;0;0;0;0;1;0;0;0
