id;active;name;parent_category;root_category;description;meta_title;seo_meta_keywords;meta_description;url_rewritten;image_url
3;1;Baules;2;0;"Puedes encontrar buales outlet para tu moto de todos los modelos, Shad,Givi. Camben cascos moto,outlet moto, chaquetas moto,pantalones moto, guantes. ";"Maletas y Baules para moto";;"Puedes encontrar buales outlet para tu moto de todos los modelos, Shad,Givi. Camben cascos moto,outlet moto, chaquetas moto,pantalones moto, guantes. ";baules;
4;1;Bolsas;2;0;"Bolsas sobredeposito, SHAD,GIVI. Con imanes y ventosas. Para todas las motos. Bolsas y maletas outlet. Descuentos hasta 50%.Outlet moto terrassa.  ";"BOLSAS SOBREDEPOSITO ";;"Bolsas sobredeposito, SHAD,GIVI. Con imanes y ventosas. Para todas las motos. Bolsas y maletas outlet. Descuentos hasta 50%.Outlet moto terrassa.  ";bolsas;
5;1;Botas;2;0;"Oferta de botas para motos, hombre y mujer, de diferentes modelos de las mejores marcas del mercado. Outlet en botas de motos. Barcelona outlet botas ";"Botas de moto outlet baratas";;"Oferta de botas para motos, hombre y mujer, de diferentes modelos de las mejores marcas del mercado. Outlet en botas de motos. Barcelona outlet botas ";botas;
6;1;Camisetas;2;0;"Diferentes modelos y diseños de camisetas del mundo de las motos. Amplio stock. MONSTER, BULTACO, ONE, VESPA , AXO, ACERBIS. EIGHTY-EIGHT";"Camisetas moto";;"Diferentes modelos y diseños de camisetas del mundo de las motos. Amplio stock. MONSTER, BULTACO, ONE, VESPA , AXO, ACERBIS. EIGHTY-EIGHT";camisetas;
7;1;Cascos;2;0;"Amplio catálogo de casco outlet. Outlet moto cascos. Cascos de moto, de las mejores marcas, descuentos de hasta el 70%. Outlet en Barcelona, Terrassa.";"Outlet Cascos Moto baratos";;"Amplio catálogo de casco outlet. Outlet moto cascos. Cascos de moto, de las mejores marcas, descuentos de hasta el 70%. Outlet en Barcelona, Terrassa.";cascos;
8;1;Chaquetas;2;0;"Consulte nuestro catálogo de chaquetas para moto, Gran variedad de ropa moto, guantes de moto, chaquetas moto. Todo en chaquetas de moto. -50%";"Outlet Chaquetas de moto, ropa moto";;"Consulte nuestro catálogo de chaquetas para moto, Gran variedad de ropa moto, guantes de moto, chaquetas moto. Todo en chaquetas de moto. -50%";chaquetas;
9;1;Cinturones;2;0;;"Cinturones de motoristas - Cinturón moto";;;cinturones;
10;1;Gafas;2;0;"Visite nuestra colección de gafas. Disponemos de diferentes tipos de gafas y modelos para moto,enduro desde 20&euro;,  gafas custom . Progrip ,Oakley ";"Gafas de enduro- Gafas moto baratas";;"Visite nuestra colección de gafas. Disponemos de diferentes tipos de gafas y modelos para moto,enduro desde 20&euro;,  gafas custom . Progrip ,Oakley ";gafas;
13;1;Gorras;2;0;"Modelos originales de gorras. Gorras de con el nombre de motorista favorito o de tu marca de moto preferida.";"Gorra moto - Gorras motorista baratas";;"Modelos originales de gorras. Gorras de con el nombre de motorista favorito o de tu marca de moto preferida.";gorras;
14;1;Guantes;2;0;"Guantes de motos a precios muy competitivos. Diferentes marcas y modelos para proteger tus manos. Outlet en guantes y ropa de moto.   Alpinestars,";"Guantes de moto baratos";;"Guantes de motos a precios muy competitivos. Diferentes marcas y modelos para proteger tus manos. Outlet en guantes y ropa de moto.   Alpinestars,";guantes;
15;1;Impermeables;2;0;"Ropa de moto impermeable para motorista. Botas, guantes, pantalones, chaquetas  y monos impermeable para  lluvia.";"Impermeables de moto baratos";;"Ropa de moto impermeable para motorista. Botas, guantes, pantalones, chaquetas  y monos impermeable para  lluvia.";impermeables;
20;1;Intercomunicadores;2;0;"En nuestra tienda puedes encontrar bluetooth para moto y intercomunicadores. Manos libres para moto de la marca celular line.";"Intercomunicadores bluetooth moto Interphone, ";;"En nuestra tienda puedes encontrar bluetooth para moto y intercomunicadores. Manos libres para moto de la marca celular line.";intercomunicadores;
21;1;Limpieza;2;0;"Todo para la limpieza de tu ropa o moto con Zeibe. Productos para limpieza de  cascos, ropa de moto, chaquetas de moto en piel y cordura.";"Limpieza cascos moto- Limpieza ropa de moto";;"Todo para la limpieza de tu ropa o moto con Zeibe. Productos para limpieza de  cascos, ropa de moto, chaquetas de moto en piel y cordura.";limpieza;
22;1;"Monos ";2;0;"Colección de monos de moto, de una y dos piezas. Variedad en modelos y precios. Monos de piel Axo, monos de cuero Alpinestars.";"Monos de moto baratos";;"Colección de monos de moto, de una y dos piezas. Variedad en modelos y precios. Monos de piel Axo, monos de cuero Alpinestars.";monos;
23;1;Mochilas;2;0;"Gran variedad de modelos en maletas y mochilas para la moto, Bolsas de moto. Outlet en Alpinestars, Boblbee,Bagster.";"Mochilas de moto ";;"Gran variedad de modelos en maletas y mochilas para la moto, Bolsas de moto. Outlet en Alpinestars, Boblbee,Bagster.";mochilas;
24;1;Pantalones;2;0;"Pantalones para la moto, diferentes modelos y marcas. En piel y en cordura. Pantalones impermeables con protecciones. Sobre pantalones Alpinestars.";"Pantalones de moto - Trajes moto baratos";;"Pantalones para la moto, diferentes modelos y marcas. En piel y en cordura. Pantalones impermeables con protecciones. Sobre pantalones Alpinestars.";pantalones;
25;1;"Productos con portes gratis";2;0;;;;;productos-con-portes-gratis;
26;1;Protecciones;2;0;"Protecciones de moto outlet para enduro,cross,  carretera y ciudad. Todo lo que necesitas para la moto, como petos, rodilleras, guantes de moto.";"Protecciones de  moto ";;"Protecciones de moto outlet para enduro,cross,  carretera y ciudad. Todo lo que necesitas para la moto, como petos, rodilleras, guantes de moto.";protecciones;
28;1;Térmicos;2;0;"Ropa de moto termica para no pasar frio, Camisetas termicas, pantalones termicos, calcetines termicos y sotocguantes termicos. Unik y Alpinestars";"Ropa Termica moto barato";;"Ropa de moto termica para no pasar frio, Camisetas termicas, pantalones termicos, calcetines termicos y sotocguantes termicos. Unik y Alpinestars";termicos;
34;1;Toallas;2;0;;"Toalla moto";;;toallas;
35;1;Inidefinido;2;0;;;;;inidefinido;
42;1;Accesorios.;2;0;"Ropa de moto y complementos con descuentos hasta -70%.Equipate con ropa outlet, cascos de moto, chaquetas outlet, pantalones, guantes, termicos.";" Ropa moto - Accesorios para moto";;"Ropa de moto y complementos con descuentos hasta -70%.Equipate con ropa outlet, cascos de moto, chaquetas outlet, pantalones, guantes, termicos.";accesorios;
43;1;Adhesivos;2;0;"Adhesivos y pegatinas de todas las marcas para tu moto, monster, bultaco, vespa, lambretta, rossi, lorenzo,ducati. Todas a precios de outlet .";"Adhesivos moto, pegatinas";;"Adhesivos y pegatinas de todas las marcas para tu moto, monster, bultaco, vespa, lambretta, rossi, lorenzo,ducati. Todas a precios de outlet .";adhesivos;
44;1;Sudaderas;2;0;;"Sudaderas moto online baratas";;;sudaderas;
50;1;"Pack Ciudad";2;0;;"Pack complemento moto ciudad";;;pack-ciudad;
51;1;"Pack Carretera";2;0;;"Pack Carretera moto";;;pack-carretera;
52;1;"Pack Enduro";2;0;;"Pack Enduro";;;pack-enduro;
53;1;"Pack Trial";2;0;;"Pack Trial";;;pack-trial;
56;1;"Camara y GPS";2;0;"GPS para motos Interphone, Camaras de video para moto,Soportes moto, outlet de moto, grandes descuentos,";"Camara de video y GPS para motos";;"GPS para motos Interphone, Camaras de video para moto,Soportes moto, outlet de moto, grandes descuentos,";camara-y-gps;
57;1;Recambios;2;0;;;;;recambios;
58;1;Fajas;2;0;"Varios modelos de fajas para la moto. Fajas outlet y descatalogadas. Grande descuentos y variedad en ropa de moto, cascos de moto y ropa de moto.";"Faja moto";;"Varios modelos de fajas para la moto. Fajas outlet y descatalogadas. Grande descuentos y variedad en ropa de moto, cascos de moto y ropa de moto.";fajas;
61;1;Accesorios;2;0;"Accesorios outlet y recambios para la moto, decuentos hasta -50% en  caballetes, pinzas, alarmas, soportes gps, pitones.                             ";"Accesorios de moto ";;"Accesorios outlet y recambios para la moto, decuentos hasta -50% en  caballetes, pinzas, alarmas, soportes gps, pitones.                             ";accesorios;
62;1;Antirrobos;2;0;"Gran variedad de antirrobos para moto, pinzas , alarmas , pitones para moto. Candados para cascos.Antirrobos outlet con descuentos hasta 60%. ";"Antirrobos de moto y alarmas de moto";;"Gran variedad de antirrobos para moto, pinzas , alarmas , pitones para moto. Candados para cascos.Antirrobos outlet con descuentos hasta 60%. ";antirrobos;
45;1;Junior;6;0;"Camisetas de niño AXO, para enduro o cross. Outlet de moto en camiseta";"Camisetas moto junior ";;"Camisetas de niño AXO, para enduro o cross. Outlet de moto en camiseta";camisetas-junior;
36;1;Jets;7;0;"Venta outlet en cascos de moto, mas de 200 modelos , liquidación de cascos jets y de verano. Cascos jets para ropa de moto urbana.  ";"Casco jet moto";;"Venta outlet en cascos de moto, mas de 200 modelos , liquidación de cascos jets y de verano. Cascos jets para ropa de moto urbana.  ";cascos-jets;
38;1;Modulares;7;0;"Gran oferta en cascos modulares de todas las marcas, Outlet  cascos modulares. Las mejores marcas. SCHUBERT, SHOEI, HJC, LS2 ,MT, SCORPION.  ";"Casco modular moto baratos online";;"Gran oferta en cascos modulares de todas las marcas, Outlet  cascos modulares. Las mejores marcas. SCHUBERT, SHOEI, HJC, LS2 ,MT, SCORPION.  ";cascos-modulares;
40;1;Integrales;7;0;"Cascos integrales para motoristas. Le invitamos a consultar nuestra colección de outlet casco moto  mejores marcas HJC, LS2, SHOEI, PROJECT, SCORPION";"Casco de moto outlet";;"Cascos integrales para motoristas. Le invitamos a consultar nuestra colección de outlet casco moto  mejores marcas HJC, LS2, SHOEI, PROJECT, SCORPION";cascos-integrales;
47;1;Junior;7;0;"Buscas casco? Cascos de niño. Gran variedad de enduro y carretera. Liquidación de cascos enduro. Casco outlet moto. Ropa de moto y chaquetas junior.";"Casco moto junior";;"Buscas casco? Cascos de niño. Gran variedad de enduro y carretera. Liquidación de cascos enduro. Casco outlet moto. Ropa de moto y chaquetas junior.";cascos-junior;
48;1;Bicicletas;7;0;"Casco de bici para BMX. gran surtido de modelos. Encontraras todo para la bicicleta. Mas de 500 modelos diferentes.                                   ";"Casco de bicicleta";;"Casco de bici para BMX. gran surtido de modelos. Encontraras todo para la bicicleta. Mas de 500 modelos diferentes.                                   ";cascos-bicicletas;
60;1;"Cascos no homologados";7;0;"CASCOS BANDIT NO HOMOLOGADOS, Toda la gamma de cascos bandit,CASCO JET ORIGINAL, JET 777 bandit integral. Ropa de moto cafe racer. Casco no homologado";"CASCO NO HOMOLOGADO";;"CASCOS BANDIT NO HOMOLOGADOS, Toda la gamma de cascos bandit,CASCO JET ORIGINAL, JET 777 bandit integral. Ropa de moto cafe racer. Casco no homologado";cascos-cascos-no-homologados;
63;1;Karting;7;0;Karting;Karting;;Karting;cascos-karting;
54;1;Verano;8;0;"Chaquetas de moto para el verano. Ofertas muy interesantes en las mejores marcas y modelos.Alpinestars, Ixs, On board, Axo,Eigthy-Eigth";"Chaquetas  de moto verano barata on line";;"Chaquetas de moto para el verano. Ofertas muy interesantes en las mejores marcas y modelos.Alpinestars, Ixs, On board, Axo,Eigthy-Eigth";chaquetas-verano;
55;1;Invierno;8;0;"Chaquetas de moto para el invierno. Chaquetas de piel, chaquetas de cordura, todo lo encontraras en terrassa. Outlet ropa moto. Todo lo que necesitas!";"Chaquetas de moto invierno outlet online baratas";;"Chaquetas de moto para el invierno. Chaquetas de piel, chaquetas de cordura, todo lo encontraras en terrassa. Outlet ropa moto. Todo lo que necesitas!";chaquetas-invierno;
11;1;Recambios;10;0;"En nuestra boutique tenemos una sección outlet de recambios para gafas y ropa moto, cascos, guantes de moto. ";"Recambios gafas moto - gafas enduro/quad/cross";;"En nuestra boutique tenemos una sección outlet de recambios para gafas y ropa moto, cascos, guantes de moto. ";gafas-recambios;
12;1;Sol;10;0;"Le invitamos a consultar nuestra colección de gafas outlet para motoristas. Modelos originales de las mejores marcas. También tenemos cascos,ropa moto";"Gafas de moto - Gafa sol motorista barata";;"Le invitamos a consultar nuestra colección de gafas outlet para motoristas. Modelos originales de las mejores marcas. También tenemos cascos,ropa moto";gafas-sol;
46;1;Junior;10;0;"Gafas de niño para moto de enduro/cross/quad. En nuestra tienda encontraras las mejores marcas. Gafa Progrip todos los colores. FOX, OAKLEY. ";"Gafas de motorista junior - Gafa de enduro niño";;"Gafas de niño para moto de enduro/cross/quad. En nuestra tienda encontraras las mejores marcas. Gafa Progrip todos los colores. FOX, OAKLEY. ";gafas-junior;
37;1;Verano;14;0;"Visite nuestra colección de guantes de moto para el verano. La mejor protección para las manos de los motoristas. Guantes de moto, enduro, ciudad,";"Guantes moto verano baratos";;"Visite nuestra colección de guantes de moto para el verano. La mejor protección para las manos de los motoristas. Guantes de moto, enduro, ciudad,";guantes-verano;
41;1;Invierno;14;0;"Colección de guantes de moto para el invierno. Guantes de invierno con protecciones, racing, urbanos, enduro,Todas las marcas alpinestars, axo, tucano";"Guantes moto invierno outlet";;"Colección de guantes de moto para el invierno. Guantes de invierno con protecciones, racing, urbanos, enduro,Todas las marcas alpinestars, axo, tucano";guantes-invierno;
16;1;Chaquetas;15;0;"Chaquetas de moto impermeables. Gran surtido de ropa impermeable para la moto. De todas las marcas ALPINESTARS, AXO, TUCANO URBANO, IXS.";"Chaqueta impermeable de moto online";;"Chaquetas de moto impermeables. Gran surtido de ropa impermeable para la moto. De todas las marcas ALPINESTARS, AXO, TUCANO URBANO, IXS.";impermeables-chaquetas;
17;1;Cubrebotas;15;0;"Varios modelos de cubrebotas impermeable para moto, con cremalleras y velcro, de la marca AXO y TUCANO URBANO. Todo tipo de ropa de moto impermeable.";"Cubrebotas impermeable moto barato";;"Varios modelos de cubrebotas impermeable para moto, con cremalleras y velcro, de la marca AXO y TUCANO URBANO. Todo tipo de ropa de moto impermeable.";impermeables-cubrebotas;
18;1;Cubreguantes;15;0;"Cubre guantes para moto impermeables. Manoplas UNIK impermeables para colocar encima de los guantes de moto. Outlet en ropa de moto.                  ";"Guantes impermeables moto - Cubreguantes impermeables baratos";;"Cubre guantes para moto impermeables. Manoplas UNIK impermeables para colocar encima de los guantes de moto. Outlet en ropa de moto.                  ";impermeables-cubreguantes;
19;1;Pantalones;15;0;"Pantalones impermeables para moto. Toda la ropa de moto impermeable que busques en nuestra tienda. Outlet en pantalones impermeables.";"Pantalones impermeables moto";;"Pantalones impermeables para moto. Toda la ropa de moto impermeable que busques en nuestra tienda. Outlet en pantalones impermeables.";impermeables-pantalones;
39;1;Rodilleras;26;0;"Rodilleras de moto, para motos de enduro, carretera, quad y cross. Varios modelos, articulados y rigidos. Alpinestars, Acerbis, Axo";"Rodillera para moto enduro/quad/cross";;"Rodilleras de moto, para motos de enduro, carretera, quad y cross. Varios modelos, articulados y rigidos. Alpinestars, Acerbis, Axo";protecciones-rodilleras;
59;1;Petos;26;0;"Petos de enduro/cross/quads. Petos para moto, completos con protecciones en hombros, codos, espalda y pecho. ALPINESTARS, ACERBIS, FOX";"Petos enduro/cross/quads";;"Petos de enduro/cross/quads. Petos para moto, completos con protecciones en hombros, codos, espalda y pecho. ALPINESTARS, ACERBIS, FOX";protecciones-petos;
29;1;Camisetas;28;0;"Camisetas termicas para la moto. Preparadas con WINSTOPER, que paran el viento y el frio. Marcas ON BOARD, UNIK, ALPINESTARS. OUTLET camisestas,casco";"Camiseta termica moto";;"Camisetas termicas para la moto. Preparadas con WINSTOPER, que paran el viento y el frio. Marcas ON BOARD, UNIK, ALPINESTARS. OUTLET camisestas,casco";termicos-camisetas;
30;1;Guantes;28;0;"Guantes termicos para la moto, guantes outlet, fabricados con WINSTOPPER y algodon, para el frio y el viento. Ideales para ir en moto.Guantes Unik";"Guantes termicos de moto baratos";;"Guantes termicos para la moto, guantes outlet, fabricados con WINSTOPPER y algodon, para el frio y el viento. Ideales para ir en moto.Guantes Unik";termicos-guantes;
31;1;Pantalones;28;0;"Pantalones de moto térmicos, con membrana WINSTOPPER, ideal para ir en moto en invierno. Donde comprar pantalones térmicos?";"Pantalon térmico de moto barato";;"Pantalones de moto térmicos, con membrana WINSTOPPER, ideal para ir en moto en invierno. Donde comprar pantalones térmicos?";termicos-pantalones;
32;1;Sotocascos;28;0;"Sotocasco para la moto, ideal para ir en moto en invierno. Gran variedad de fabricantes de ropa de moto. ON BOARD, UNIK, ALPINESTARS, AXO";"Sotocasco de moto";;"Sotocasco para la moto, ideal para ir en moto en invierno. Gran variedad de fabricantes de ropa de moto. ON BOARD, UNIK, ALPINESTARS, AXO";termicos-sotocascos;
33;1;"Wind Tube (Bragas)";28;0;"Bragas cuello térmicas para la moto, WINDSTOPPER, Ideales para ir en moto en invierno, descuentos de 80% en bragas, cascos,ropa de moto y outlet";"Bragas Cuello termicas de moto wind tube";;"Bragas cuello térmicas para la moto, WINDSTOPPER, Ideales para ir en moto en invierno, descuentos de 80% en bragas, cascos,ropa de moto y outlet";termicos-wind-tube-bragas;
49;1;" Pack Cascos + Guantes";50;0;;" Pack Cascos + Guantes";;;pack-ciudad-pack-cascos-guantes;
